id,id_unidade_id,fone
1,1,3355-4668
2,2,3355-4704
3,3,3355-6798
5,5,3355-6691
6,6,3355-6418
7,7,3355-4656
8,8,3355-4648
9,9,3355-4653
10,10,3355-6226
11,11,2122-4100
12,12,3355-6150
13,13,3355-6694
14,14,3355-6695
15,15,3355-6212
16,16,3355-6170
17,17,3355-6430
18,18,3355-6155
19,19,3355-3165
20,20,3355-6206
21,21,3355-4708
22,22,3355-4628
23,23,3355-6510
24,24,3355-4665
25,25,3355-6094
26,26,3355-4660
27,27,3355-6095
28,28,3355-6905
29,29,3355-6972
30,30,3355-6922
31,31,3355-9900
32,32,3355-7839
33,33,3355-7875
34,34,3355-6134
35,35,3355-6202
36,36,3355-4632
37,37,3355-6222
38,38,3355-0070
39,39,3355-0325
40,40,3355-0177
41,41,3355-6082
42,42,3355-6086
43,43,3355-6526
44,44,3355-6182
45,45,3355-6074
46,46,3355-6402
47,47,3355-4551
48,48,3355-6115
49,49,3355-6522
50,50,3355-4680
51,51,3355-3800
52,52,3355-4696
53,53,3355-6195
54,54,3355-6242
55,55,3355-6839
56,56,3355-6902
57,57,3355-4689
58,58,3355-2789
59,59,3355-4434
60,60,3355-4412
61,61,3355-4400
62,62,3355-2169
63,63,3355-4408
64,64,3355-6049
65,65,3355-4385
66,66,3355-4416
67,67,3181-1434
68,68,3183-4511
69,69,3181-5597
70,70,3184-1720
71,71,3355-4716
72,72,3355-4644 / 3355-4645
73,73,3355-6924
74,74,3355-6448
75,75,3355-6704
76,76,3355-3351
77,77,3355-6514
78,78,3355-6455
79,79,3355-6423
80,80,3355-6435
81,81,3355-6179
82,82,3355-6131
83,83,3355-0204
84,84,3355-4879
85,85,3355-6411
86,86,3355-4640
87,87,3355-0304 / 3335-0305
88,88,3355-0308
89,89,3355-6230
90,90,3355-0404 / 3355-0407
91,91,2126-3633
92,92,3355-7826
93,93,3355-4425
94,94,3355-6442
95,95,3355-4358
96,96,3184-6400
97,97,3184-5460
98,98,3355-6186
99,99,3355-6686
100,100,3355-6126
101,101,3355-4636
102,102,3355-6932
103,103,3355-6710
104,104,3355-4676
105,105,3355-6426
106,106,3355-6211
107,107,3355-6869
108,108,3355-6254
109,109,3355-0216
110,110,3355-0059
111,111,3355-6138
112,112,3355-0035
113,113,3355-2535
114,114,3182-8500
115,115,3355-2331
116,116,3355-2230
117,117,3355-4440
118,118,3355-2537
119,119,3355-0090
120,120,3182-3000
121,121,3355-2539
122,122,3355-6651
123,123,3355-6118
124,124,3355-6685
125,125,3355-6936
126,126,3355-6098
127,127,3355-6090
128,128,3355-6687
129,129,3355-6103
130,130,3355-4692
131,131,3355-6407
132,132,3355-4673
133,133,3355-6122
134,134,3355-6162
135,135,3355-3407
136,136,3355-6825
137,137,3355-6247
138,138,3355-6215
139,139,3355-6078
140,140,3355-4625
141,141,3355-6650
142,142,3355-3032
143,143,3355-4713
144,144,3355-6166
146,146,3355-6174
147,147,3355-6690
148,148,3355-6239
149,149,3355-6158
150,150,3355-6251
151,151,3355-4620
152,152,3355-3037
153,153,3355-4712
154,154,3355-6452
155,155,3355-4684
156,156,3355-6190
157,157,3355-4428
158,158,3355-3330
159,159,3355-0119
160,160,3355-2223
161,161,3355-0160
162,162,3355-1350
163,163,3355-4381
164,164,3355-1820
165,165,3355-4444
166,166,3355-6438
145,145,3355-6909 
